player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Baylor Scheierman,5363040.0,4952993.0,,,2,10316033.0,5158016.5,4952993.0,1
Xavier Tillman Sr.,2546675.0,,,,1,2546675.0,2546675.0,,0
Cam Spencer,7565833.0,2616754.0,2830685.0,,3,13013272.0,4337757.333333333,2616754.0,2
Luka Garza,5262809.0,,,,1,5262809.0,5262809.0,,0
Sandro Mamukelashvili,2461463.0,,,,1,2461463.0,2461463.0,,0
Trendon Watford,2461463.0,,,,1,2461463.0,2461463.0,,0
Jericho Sims,2461463.0,,,,1,2461463.0,2461463.0,,0
Dru Smith,2378870.0,2934742.0,,,2,5313612.0,2656806.0,2934742.0,1
Josh Minott,2378870.0,,,,1,2378870.0,2378870.0,,0
Justin Champagnie,5017522.0,3005085.0,,,2,8022607.0,4011303.5,3005085.0,1
Jordan Goodwin,2349578.0,,,,1,2349578.0,2349578.0,,0
Jay Huff,2349578.0,3005085.0,,,2,5354663.0,2677331.5,3005085.0,1
Keon Johnson,2349578.0,,,,1,2349578.0,2349578.0,,0
Neemias Queta,,2667944.0,,,1,2667944.0,2667944.0,2667944.0,0
Vit Krejci,,3005085.0,,,1,3005085.0,3005085.0,3005085.0,0
Keon Ellis,2301587.0,,,,1,2301587.0,2301587.0,,0
A.J. Green,2301587.0,,,,1,2301587.0,2301587.0,,0
Vince Williams Jr.,2301587.0,,,,1,2301587.0,2301587.0,,0
Anthony Gill,2296274.0,,,,1,2296274.0,2296274.0,,0
Marvin Bagley III,2296274.0,,,,1,2296274.0,2296274.0,,0
Garrett Temple,2296274.0,,,,1,2296274.0,2296274.0,,0
Bismack Biyombo,2296274.0,,,,1,2296274.0,2296274.0,,0
Lindy Waters III,2296274.0,,,,1,2296274.0,2296274.0,,0
Jordan McLaughlin,2296274.0,,,,1,2296274.0,2296274.0,,0
Doug McDermott,2296274.0,,,,1,2296274.0,2296274.0,,0
Drew Eubanks,2296274.0,,,,1,2296274.0,2296274.0,,0
Collin Gillespie,2296274.0,,,,1,2296274.0,2296274.0,,0
Kyle Lowry,2296274.0,,,,1,2296274.0,2296274.0,,0
Eric Gordon,2296274.0,,,,1,2296274.0,2296274.0,,0
Landry Shamet,2296274.0,,,,1,2296274.0,2296274.0,,0
Bones Hyland,2296274.0,,,,1,2296274.0,2296274.0,,0
Joe Ingles,2296274.0,,,,1,2296274.0,2296274.0,,0
Thanasis Antetokounmpo,2296274.0,,,,1,2296274.0,2296274.0,,0
Amir Coffey,2296274.0,,,,1,2296274.0,2296274.0,,0
Precious Achiuwa,2296274.0,,,,1,2296274.0,2296274.0,,0
Chris Paul,2296274.0,,,,1,2296274.0,2296274.0,,0
Josh Okogie,2296274.0,,,,1,2296274.0,2296274.0,,0
Jeff Green,2296274.0,,,,1,2296274.0,2296274.0,,0
Aaron Holiday,2296274.0,,,,1,2296274.0,2296274.0,,0
Jae'Sean Tate,2296274.0,,,,1,2296274.0,2296274.0,,0
Gary Payton II,2296274.0,,,,1,2296274.0,2296274.0,,0
Javonte Green,2296274.0,,,,1,2296274.0,2296274.0,,0
Tim Hardaway Jr.,2296274.0,,,,1,2296274.0,2296274.0,,0
Bruce Brown,2296274.0,,,,1,2296274.0,2296274.0,,0
Dante Exum,2296274.0,,,,1,2296274.0,2296274.0,,0
Thomas Bryant,2296274.0,,,,1,2296274.0,2296274.0,,0
Larry Nance Jr.,2296274.0,,,,1,2296274.0,2296274.0,,0
Mason Plumlee,2296274.0,,,,1,2296274.0,2296274.0,,0
Chris Boucher,2296274.0,,,,1,2296274.0,2296274.0,,0
Scotty Pippen Jr.,2270735.0,2789215.0,,,2,5059950.0,2529975.0,2789215.0,1
JD Davison,2270735.0,,,,1,2270735.0,2270735.0,,0
Moussa Diabaté,,2461462.0,,,1,2461462.0,2461462.0,2461462.0,0
Rayan Rupert,2221677.0,,,,1,2221677.0,2221677.0,,0
Toumani Camara,2221677.0,,,,1,2221677.0,2221677.0,,0
Ricky Council IV,2221677.0,,,,1,2221677.0,2221677.0,,0
GG Jackson II,2221677.0,,,,1,2221677.0,2221677.0,,0
Gui Santos,2221677.0,,,,1,2221677.0,2221677.0,,0
Jalen Pickett,2221677.0,,,,1,2221677.0,2221677.0,,0
Hunter Tyson,2221677.0,,,,1,2221677.0,2221677.0,,0
Julian Phillips,2221677.0,,,,1,2221677.0,2221677.0,,0
Jalen Wilson,2221677.0,,,,1,2221677.0,2221677.0,,0
Jordan Walsh,200000.0,,,,1,200000.0,200000.0,,0
Leonard Miller,,2406205.0,,,1,2406205.0,2406205.0,2406205.0,0
Andre Jackson Jr.,,2406205.0,,,1,2406205.0,2406205.0,2406205.0,0
Trayce Jackson-Davis,,2406205.0,,,1,2406205.0,2406205.0,2406205.0,0
Craig Porter Jr.,,2406205.0,,,1,2406205.0,2406205.0,2406205.0,0
Mouhamed Gueye,,2406205.0,,,1,2406205.0,2406205.0,2406205.0,0
JaVale McGee,6626568.0,2208856.0,,,2,8835424.0,4417712.0,2208856.0,1
Tyler Kolek,4488168.0,2486995.0,,,2,6975163.0,3487581.5,2486995.0,1
Jaylen Clark,2191897.0,,,,1,2191897.0,2191897.0,,0
Tyrese Martin,2191897.0,,,,1,2191897.0,2191897.0,,0
Justin Edwards,4459584.0,2616754.0,,,2,7076338.0,3538169.0,2616754.0,1
Nigel Hayes-Davis,2048494.0,,,,1,2048494.0,2048494.0,,0
N'Faly Dante,,2411090.0,,,1,2411090.0,2411090.0,2411090.0,0
Tyler Smith,4251648.0,,,,1,4251648.0,4251648.0,,0
Johnny Furphy,4251648.0,2486995.0,,,2,6738643.0,3369321.5,2486995.0,1
Jonathan Mogbo,1955377.0,,,,1,1955377.0,1955377.0,,0
Jamal Shead,1955377.0,,,,1,1955377.0,1955377.0,,0
Oso Ighodaro,1955377.0,2486995.0,,,2,4442372.0,2221186.0,2486995.0,1
Ariel Hukporti,1955377.0,,,,1,1955377.0,1955377.0,,0
Karlo Matković,1955377.0,,,,1,1955377.0,1955377.0,,0
Keshad Johnson,1955377.0,,,,1,1955377.0,1955377.0,,0
Jaylen Wells,1955377.0,2486995.0,,,2,4442372.0,2221186.0,2486995.0,1
Bronny James,1955377.0,2486995.0,,,2,4442372.0,2221186.0,2486995.0,1
Cam Christie,1955377.0,2486995.0,,,2,4442372.0,2221186.0,2486995.0,1
Quinten Post,1955377.0,,,,1,1955377.0,1955377.0,,0
Isaac Jones,1955377.0,,,,1,1955377.0,1955377.0,,0
Bobi Klintman,1955377.0,2486995.0,,,2,4442372.0,2221186.0,2486995.0,1
Drew Timme,1955377.0,,,,1,1955377.0,1955377.0,,0
Jamison Battle,,2296271.0,,,1,2296271.0,2296271.0,2296271.0,0
Adem Bona,,2486995.0,,,1,2486995.0,2486995.0,2486995.0,0
Pelle Larsson,,2296271.0,,,1,2296271.0,2296271.0,2296271.0,0
Olivier-Maxence Prosper,3007080.0,1002360.0,,,2,4009440.0,2004720.0,1002360.0,1
James Wiseman,1000000.0,,,,1,1000000.0,1000000.0,,0
E.J. Liddell,1413796.0,,,,1,1413796.0,1413796.0,,0
Mamadi Diakite,928100.0,,,,1,928100.0,928100.0,,0
Ricky Rubio,849344.0,,,,1,849344.0,849344.0,,0
Didi Louzada,1072128.0,268032.0,268032.0,,3,1608192.0,536064.0,268032.0,2
Jaden Springer,70732.0,,,,1,70732.0,70732.0,,0
