player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Devin Vassell,105652174.0,24652174.0,27000000.0,,3,157304348.0,52434782.666666664,24652174.0,2
Terry Rozier,26643031.0,,,,1,26643031.0,26643031.0,,0
Tobias Harris,26634146.0,,,,1,26634146.0,26634146.0,,0
John Collins,26580000.0,,,,1,26580000.0,26580000.0,,0
Draymond Green,53571428.0,,,,1,53571428.0,53571428.0,,0
Nic Claxton,69443183.0,20943184.0,,,2,90386367.0,45193183.5,20943184.0,1
Myles Turner,79752492.0,27850077.0,29115990.0,,3,136718559.0,45572853.0,27850077.0,2
Trey Murphy III,112000000.0,29000000.0,31000000.0,,3,172000000.0,57333333.333333336,29000000.0,2
Josh Giddey,100000000.0,25000000.0,25000000.0,,3,150000000.0,50000000.0,25000000.0,2
Miles Bridges,47826087.0,,,,1,47826087.0,47826087.0,,0
Fred VanVleet,25000000.0,,,,1,25000000.0,25000000.0,,0
Mikal Bridges,133382144.0,36160714.0,38839285.0,41517856.0,4,249899999.0,62474999.75,36160714.0,3
DeMar DeRozan,24570000.0,,,,1,24570000.0,24570000.0,,0
Jaden McDaniels,108413793.0,28006898.0,29813790.0,,3,166234481.0,55411493.666666664,28006898.0,2
De'Andre Hunter,48214285.0,,,,1,48214285.0,48214285.0,,0
Aaron Gordon,92850172.0,36350680.0,39043323.0,,3,168244175.0,56081391.666666664,36350680.0,2
Jonathan Kuminga,22500000.0,,,,1,22500000.0,22500000.0,,0
Kyle Kuzma,42755757.0,,,,1,42755757.0,42755757.0,,0
Kentavious Caldwell-Pope,21621500.0,,,,1,21621500.0,21621500.0,,0
Marcus Smart,21586855.0,,,,1,21586855.0,21586855.0,,0
Naz Reid,96551724.0,25000000.0,26724138.0,28448276.0,4,176724138.0,44181034.5,25000000.0,3
Nikola Vučević,21481481.0,,,,1,21481481.0,21481481.0,,0
Dillon Brooks,41116837.0,,,,1,41116837.0,41116837.0,,0
Cameron Johnson,44119565.0,,,,1,44119565.0,44119565.0,,0
Norman Powell,20482758.0,,,,1,20482758.0,20482758.0,,0
Jarrett Allen,110720000.0,30240000.0,32480000.0,,3,173440000.0,57813333.333333336,30240000.0,2
Jakob Poeltl,95784000.0,27300000.0,29484000.0,27300000.0,4,179868000.0,44967000.0,27300000.0,3
Josh Hart,40396000.0,22375280.0,,,2,62771280.0,31385640.0,22375280.0,1
Jusuf Nurkić,19375000.0,,,,1,19375000.0,19375000.0,,0
Harrison Barnes,19000000.0,,,,1,19000000.0,19000000.0,,0
Collin Sexton,18975000.0,,,,1,18975000.0,18975000.0,,0
Malik Monk,38987654.0,21582451.0,,,2,60570105.0,30285052.5,21582451.0,1
Santi Aldama,35492959.0,17007043.0,,,2,52500002.0,26250001.0,17007043.0,1
Rui Hachimura,18259259.0,,,,1,18259259.0,18259259.0,,0
Luguentz Dort,18222222.0,,,,1,18222222.0,18222222.0,,0
Alex Caruso,81096960.0,20998320.0,22446480.0,,3,124541760.0,41513920.0,20998320.0,2
Ivica Zubac,58650480.0,20998320.0,,,2,79648800.0,39824400.0,20998320.0,1
Andrew Nembhard,58650480.0,20998320.0,,,2,79648800.0,39824400.0,20998320.0,1
Zach Collins,18080496.0,,,,1,18080496.0,18080496.0,,0
Patrick Williams,54000000.0,18000000.0,18000000.0,,3,90000000.0,30000000.0,18000000.0,2
Kevin Huerter,17991071.0,,,,1,17991071.0,17991071.0,,0
Keldon Johnson,35000000.0,,,,1,35000000.0,35000000.0,,0
Grayson Allen,35000000.0,19375000.0,,,2,54375000.0,27187500.0,19375000.0,1
Duncan Robinson,16834692.0,15151222.0,,,2,31985914.0,15992957.0,15151222.0,1
Klay Thompson,34126984.0,,,,1,34126984.0,34126984.0,,0
Bogdan Bogdanović,16020000.0,,,,1,16020000.0,16020000.0,,0
Max Strus,32597288.0,,,,1,32597288.0,32597288.0,,0
Terance Mann,47000000.0,16000000.0,,,2,63000000.0,31500000.0,16000000.0,1
Paolo Banchero,201254769.0,44820000.0,48140000.0,51460000.0,4,345674769.0,86418692.25,44820000.0,3
Nickeil Alexander-Walker,44727310.0,15161800.0,15919890.0,,3,75809000.0,25269666.666666668,15161800.0,2
