GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1628978-1630183-,D. DiVincenzo - J. McDaniels,1610612750,MIN,62,37,25,0.597,12.0,9.9,21.8,0.456,3.6,10.0,0.359,4.1,5.5,0.756,2.8,8.8,11.6,6.3,3.6,2.0,1.3,1.2,4.6,4.7,27.6,0.2,212,211,4814,1703,1152,1244,1199,2739,1042,1045,2342,1287,1233,3132,1284,1020,1027,1246,4061,1176,1100,3900,4055,1152,1193,2062,2233390
Lineups,-1627827-1629637-,D. Finney-Smith - J. Hayes,1610612747,LAL,39,28,11,0.718,12.0,10.2,21.2,0.482,3.6,10.0,0.363,4.9,6.3,0.791,2.0,8.7,10.8,6.4,3.3,2.2,1.3,0.6,4.0,5.3,29.1,2.6,835,471,3419,903,1148,1153,1272,1494,998,1014,2177,865,885,2120,2290,1037,1241,1225,3805,982,1069,2050,3575,837,1064,670,1409570
Lineups,-1629636-1630171-,D. Garland - I. Okoro,1610612739,CLE,51,42,9,0.824,12.0,11.7,22.8,0.515,4.1,10.0,0.411,3.8,5.0,0.775,2.9,8.3,11.2,7.5,3.2,2.2,0.9,1.0,4.6,4.6,31.4,3.2,460,100,3011,538,1165,844,1084,569,746,1051,737,1531,1509,2629,1183,1161,1121,830,3707,998,2252,3171,4074,1215,887,455,1832570
Lineups,-1627824-1629022-,G. Yabusele - L. Walker IV,1610612755,PHI,12,2,10,0.167,12.0,9.8,22.2,0.444,3.5,10.1,0.347,2.9,4.3,0.686,2.9,6.6,9.5,7.0,3.7,1.8,0.8,1.9,5.3,3.8,26.1,-3.1,2715,3541,3223,4478,1166,1259,1154,3284,1086,1006,2779,2369,1958,4248,1205,1845,1604,975,4107,1576,2406,4885,4422,1832,1340,4608,430940
Lineups,-1630193-1642279-,I. Quickley - U. Chomche,1610612761,TOR,1,1,0,1.0,12.0,7.0,21.0,0.333,1.0,7.0,0.143,8.0,8.0,1.0,4.0,6.0,10.0,2.0,2.0,0.0,1.0,1.0,5.0,6.0,23.0,-12.0,4883,4024,1,1,1155,2286,1300,4973,4125,2094,4981,179,455,1,484,2111,1436,4262,1989,4890,1639,3171,4280,620,1722,5313,36000
Lineups,-1629098-1631223-,J. McVeigh - D. Roddy,1610612745,HOU,1,0,1,0.0,12.0,8.0,20.0,0.4,2.0,11.0,0.182,4.0,5.0,0.8,1.0,6.0,7.0,7.0,3.0,1.0,5.0,0.0,2.0,5.0,22.0,-11.0,4883,4771,393,4771,1155,1841,1451,4467,2703,794,4893,1350,1434,1760,3969,2111,2656,975,3422,3193,2,1,1386,968,1850,5302,36000
Lineups,-1629673-1630557-,J. Poole - C. Kispert,1610612764,WAS,51,12,39,0.235,12.0,10.2,22.6,0.452,3.6,9.8,0.372,4.8,5.7,0.841,2.5,8.3,10.8,6.6,4.1,1.9,1.1,1.3,5.2,5.3,28.9,-1.3,460,1467,5266,4209,1163,1147,1106,2893,992,1084,1830,953,1136,901,1590,1161,1239,1124,4458,1425,1560,4107,4400,865,1086,3482,1833155
Lineups,-202685-1641731-,J. Valančiūnas - B. Coulibaly,1610612764,WAS,45,8,37,0.178,12.0,9.6,22.0,0.436,2.8,8.4,0.327,4.6,5.5,0.838,2.8,8.2,11.0,6.2,4.4,1.8,1.2,1.3,4.8,5.2,26.5,-4.7,635,2019,5237,4463,1151,1323,1177,3590,1776,1501,3495,1023,1231,936,1298,1174,1161,1314,4589,1700,1360,4087,4180,917,1300,4962,1622675
Lineups,-1630231-1642272-,K. Martin - J. McCain,1610612755,PHI,18,6,12,0.333,12.0,10.1,21.5,0.468,2.9,8.3,0.349,4.9,6.4,0.767,2.8,6.7,9.5,5.7,3.1,1.9,1.1,1.6,4.2,5.4,27.9,0.9,2108,2416,3591,3545,1167,1200,1231,2165,1633,1558,2721,866,814,2826,1333,1778,1604,1556,3664,1421,1569,4614,3790,822,1162,1497,645890
Lineups,-1631200-1631386-,K. Murray - T. Moore,1610612757,POR,1,0,1,0.0,12.0,6.0,26.0,0.231,2.0,14.0,0.143,1.0,2.0,0.5,5.0,9.0,14.0,3.0,7.0,3.0,1.0,3.0,2.0,4.0,15.0,-5.0,4883,4771,393,4771,1155,2810,796,5167,2703,408,4981,4432,3909,4795,216,922,627,3458,5209,444,1639,5280,1386,1592,3117,5003,36000
Lineups,-1628964-1641722-,M. Bamba - J. Hawkins,1610612740,NOP,4,1,3,0.25,12.0,9.3,20.3,0.457,3.0,9.0,0.333,4.3,5.0,0.85,2.8,9.5,12.3,6.8,3.5,0.8,1.5,1.0,2.5,4.3,25.8,-2.0,4013,4024,1421,4050,1150,1404,1424,2690,1458,1283,3159,1221,1434,772,1356,821,903,1091,3967,3986,760,3171,2039,1429,1378,3976,144400
Lineups,-1628384-1629011-,O. Anunoby - M. Robinson,1610612752,NYK,17,10,7,0.588,12.0,9.8,22.1,0.443,2.9,8.3,0.348,4.1,5.2,0.795,3.8,6.9,10.6,5.6,3.4,2.5,1.5,1.1,4.2,4.6,26.5,0.1,2214,1717,2611,1753,1153,1277,1164,3320,1640,1548,2764,1305,1366,1989,627,1686,1276,1573,3904,742,743,3611,3798,1228,1298,2183,612380
Lineups,-1631115-1642367-,O. Robinson - J. Mogbo,1610612761,TOR,15,6,9,0.4,12.0,9.1,23.9,0.382,2.9,9.6,0.306,3.1,4.0,0.783,4.2,8.7,12.9,5.9,4.0,2.0,0.9,1.9,6.0,3.7,24.3,-3.5,2432,2416,3011,3181,1161,1453,983,4702,1604,1138,3959,2100,2127,2356,418,1051,791,1443,4313,1209,2299,4853,4680,1896,1557,4751,539605
Lineups,-1630583-1630590-,S. Aldama - S. Pippen Jr.,1610612763,MEM,63,37,26,0.587,12.0,11.0,23.4,0.468,3.7,10.5,0.354,4.3,5.7,0.758,2.9,8.5,11.4,7.5,3.7,2.4,1.3,1.2,5.1,4.8,29.9,-0.3,189,211,4887,1771,1149,1002,1028,2126,962,925,2540,1210,1152,3068,1217,1088,1074,833,4099,871,1104,3887,4341,1103,993,2574,2275625
