nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
201959,Taj Gibson,2026,MEM,C,9.687,-1.129,-0.827,-0.302,0.081,Low Minute,Helper
202066,Garrett Temple,2026,TOR,SG,3.316,-1.418,-1.054,-0.364,0.048,Low Minute,Chaser
202331,Paul George,2026,PHI,PF,30.675,1.746,1.277,0.469,2.989,Shot Creator,Helper
202685,Jonas Valanciunas,2026,DEN,C,13.4,-0.288,0.167,-0.455,1.185,Post Scorer,Anchor Big
202687,Bismack Biyombo,2026,SAS,C,5.653,-2.994,-2.596,-0.398,-0.045,Athletic Finisher,Anchor Big
202691,Klay Thompson,2026,DAL,SF,21.69,-2.461,-0.445,-2.016,0.011,Off Screen Shooter,Helper
202695,Kawhi Leonard,2026,LAC,SF,32.072,5.041,4.835,0.205,9.616,Shot Creator,Helper
202696,Nikola Vucevic,2026,CHI/BOS,C,28.407,0.593,0.368,0.225,3.48,Versatile Big,Mobile Big
202699,Tobias Harris,2026,DET,PF,27.703,1.552,1.026,0.526,4.386,Movement Shooter,Wing Stopper
202710,Jimmy Butler Iii,2026,GSW,SF,31.096,3.115,2.85,0.264,4.106,Shot Creator,Wing Stopper
203076,Anthony Davis,2026,DAL,PF,31.28,1.602,0.647,0.955,1.592,Shot Creator,Mobile Big
203078,Bradley Beal,2026,LAC,SG,20.153,-1.224,-0.59,-0.634,0.094,Secondary Ball Handler,Chaser
203083,Andre Drummond,2026,PHI,C,19.534,-0.2,-0.415,0.216,1.743,Roll + Cut Big,Anchor Big
203084,Harrison Barnes,2026,SAS,PF,25.797,0.092,0.274,-0.182,3.177,Movement Shooter,Helper
203110,Draymond Green,2026,GSW,PF,27.481,-0.75,-2.015,1.265,2.002,Stationary Shooter,Helper
203114,Khris Middleton,2026,WAS/DAL,SF,22.842,-1.359,-0.504,-0.855,0.993,Shot Creator,Helper
203468,Cj Mccollum,2026,WAS/ATL,PG,29.777,-0.306,0.855,-1.161,3.054,Primary Ball Handler,Chaser
203471,Dennis Schroder,2026,SAC/CLE,PG,24.231,-0.924,0.121,-1.045,1.632,Primary Ball Handler,Point of Attack
203482,Kelly Olynyk,2026,SAS,C,8.576,-1.054,-0.753,-0.301,0.317,Stretch Big,Helper
203484,Kentavious Caldwell-Pope,2026,MEM,SG,21.321,-1.34,-0.97,-0.37,0.763,Secondary Ball Handler,Chaser
