Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
2025-26,Lachlan Olbrich,22,CHI,30,Garbage Time,Low Minute,Mobile Big,0.05,0.02,-0.33,0.35
2025-26,Jalen Green,23,PHO,30,Too Few Games,Low Minute,Chaser,0.04,-0.06,0.13,-0.19
2025-26,Anthony Gill,33,WAS,26,Garbage Time,Low Minute,Helper,0.04,0.03,-0.51,0.54
2025-26,Leonard Miller,22,MIN,38,Garbage Time,Low Minute,Helper,0.04,-0.74,-0.42,-0.33
2025-26,Javonte Cooke,26,POR,24,Garbage Time,Low Minute,Chaser,0.04,0.3,-0.02,0.33
2025-26,Emanuel Miller,25,CHI,21,Garbage Time,Low Minute,Mobile Big,0.04,0.19,-0.17,0.36
2025-26,Joan Beringer,19,MIN,37,Garbage Time,Low Minute,Mobile Big,0.04,-0.82,-0.53,-0.29
2025-26,Mohamed Diawara,20,NYK,40,Garbage Time,Low Minute,Chaser,0.04,-0.7,-0.94,0.24
2025-26,DeAndre Jordan,37,NOP,23,Too Few Games,Low Minute,Anchor Big,0.04,0.51,-0.11,0.62
2025-26,Dario Šarić,31,SAC,28,Garbage Time,Low Minute,Helper,0.04,0.13,-0.57,0.7
2025-26,James Wiseman,24,IND,20,Too Few Games,Low Minute,Mobile Big,0.03,-0.29,-0.49,0.2
2025-26,Jae'Sean Tate,30,HOU,80,Garbage Time,Low Minute,Helper,0.03,-1.8,-0.87,-0.93
2025-26,Ziaire Williams,24,BRK,416,Key Rotation,Movement Shooter,Chaser,0.03,-2.37,-1.84,-0.53
2025-26,Orlando Robinson,25,ORL,22,Garbage Time,Low Minute,Mobile Big,0.03,-0.11,0.11,-0.23
2025-26,JD Davison,23,HOU,59,Garbage Time,Low Minute,Point of Attack,0.03,-1.55,-0.71,-0.83
2025-26,Mark Sears,23,MIL,26,Garbage Time,Low Minute,Point of Attack,0.03,-0.32,-0.4,0.09
2025-26,Hunter Tyson,25,DEN,28,Garbage Time,Low Minute,Helper,0.03,-0.55,-0.3,-0.25
2025-26,Hunter Sallis,22,PHI,25,Garbage Time,Low Minute,Chaser,0.03,-0.68,-0.57,-0.11
2025-26,Pacôme Dadiet,20,NYK,22,Garbage Time,Low Minute,Chaser,0.03,-0.57,-0.78,0.21
2025-26,Jonathan Mogbo,24,TOR,39,Garbage Time,Low Minute,Mobile Big,0.03,-1.04,-0.73,-0.31
2025-26,Isaac Jones,25,SAC/DET,18,Garbage Time,Low Minute,Mobile Big,0.03,0.16,-0.45,0.61
2025-26,Tolu Smith,25,DET,22,Too Few Games,Low Minute,Helper,0.03,-0.35,-0.21,-0.14
2025-26,Amari Williams,24,BOS,29,Garbage Time,Low Minute,Anchor Big,0.03,-0.6,-0.62,0.03
2025-26,Adou Thiero,21,LAL,17,Garbage Time,Low Minute,Chaser,0.03,0.69,0.43,0.26
2025-26,Seth Curry,35,GSW,18,Too Few Games,Low Minute,Chaser,0.03,0.29,0.25,0.03
2025-26,Joe Ingles,38,MIN,23,Garbage Time,Low Minute,Chaser,0.03,-0.71,-0.31,-0.4
2025-26,Sharife Cooper,24,WAS,10,Garbage Time,Low Minute,Point of Attack,0.02,0.01,-0.45,0.46
2025-26,Johnny Juzang,24,MIN,22,Garbage Time,Low Minute,Chaser,0.02,-0.71,-0.29,-0.42
2025-26,Corey Kispert,26,WAS,338,Key Rotation,Movement Shooter,Chaser,0.02,-2.38,-1.25,-1.14
2025-26,Ethan Thompson,26,IND,10,Too Few Games,Low Minute,Point of Attack,0.02,-0.05,-0.32,0.27
2025-26,Harrison Ingram,23,SAS,11,Garbage Time,Low Minute,Chaser,0.02,0.4,0.27,0.13
2025-26,Ron Harper Jr.,25,BOS,15,Garbage Time,Low Minute,Helper,0.02,-0.44,-0.37,-0.07
2025-26,Jacob Toppin,25,ATL,17,Garbage Time,Low Minute,Chaser,0.02,-0.41,-0.2,-0.21
2025-26,Daeqwon Plowden,27,SAC,14,Too Few Games,Low Minute,Point of Attack,0.02,0.15,-0.45,0.6
2025-26,Chris Livingston,22,CLE,15,Too Few Games,Low Minute,Chaser,0.02,-0.25,-0.21,-0.04
2025-26,N'Faly Dante,24,ATL,15,Garbage Time,Low Minute,Helper,0.02,-0.42,-0.18,-0.24
2025-26,Riley Minix,25,SAS,8,Garbage Time,Low Minute,Mobile Big,0.02,0.47,0.34,0.14
2025-26,Jahmir Young,25,MIA,17,Garbage Time,Low Minute,Point of Attack,0.02,-0.85,-0.53,-0.32
2025-26,Miles Kelly,23,DAL,11,Too Few Games,Low Minute,Chaser,0.02,-0.27,-0.37,0.1
2025-26,Kyle Lowry,39,PHI,14,Too Few Games,Low Minute,Helper,0.02,-0.48,-0.41,-0.07
2025-26,Jeff Green,39,HOU,33,Garbage Time,Low Minute,Helper,0.02,-1.51,-0.5,-1.01
2025-26,Thanasis Antetokounmpo,33,MIL,18,Garbage Time,Low Minute,Mobile Big,0.02,-0.28,-0.52,0.24
2025-26,Hunter Dickinson,25,NOP,5,Too Few Games,Low Minute,Helper,0.01,0.55,-0.08,0.63
2025-26,Christian Koloko,25,LAL,6,Too Few Games,Low Minute,Helper,0.01,0.7,0.52,0.18
2025-26,Pete Nance,25,MIL,10,Garbage Time,Low Minute,Mobile Big,0.01,-0.24,-0.38,0.14
2025-26,Colby Jones,23,DET,7,Too Few Games,Low Minute,Point of Attack,0.01,-0.32,-0.15,-0.17
2025-26,DaRon Holmes II,23,DEN,4,Too Few Games,Low Minute,Helper,0.01,-0.45,-0.22,-0.23
2025-26,Tosan Evbuomwan,24,NYK,5,Too Few Games,Low Minute,Helper,0.01,-0.48,-0.65,0.17
2025-26,Trey Jemison III,26,NYK,10,Garbage Time,Low Minute,Helper,0.01,-0.56,-0.74,0.18
2025-26,Myron Gardner,24,MIA,9,Garbage Time,Low Minute,Chaser,0.01,-0.82,-0.53,-0.29
2025-26,Noa Essengue,19,CHI,6,Too Few Games,Low Minute,Helper,0.01,0.23,-0.08,0.31
2025-26,Koby Brea,23,PHO,8,Too Few Games,Low Minute,Helper,0.01,-0.28,-0.06,-0.22
2025-26,Jahmai Mashack,23,MEM,6,Too Few Games,Low Minute,Helper,0.01,0.39,-0.3,0.69
2025-26,Chris Mañon,24,LAL,7,Too Few Games,Low Minute,Point of Attack,0.01,0.8,0.59,0.2
2025-26,Garrett Temple,39,TOR,10,Garbage Time,Low Minute,Chaser,0.01,-1.05,-0.57,-0.48
2025-26,Doug McDermott,34,SAC,8,Too Few Games,Low Minute,Chaser,0.01,0.28,-0.4,0.68
2025-26,Svi Mykhailiuk,28,UTA,522,Starter,Movement Shooter,Point of Attack,0.0,-2.45,-1.43,-1.03
2025-26,Terance Mann,29,BRK,508,Starter,Primary Ball Handler,Point of Attack,0.0,-2.45,-1.58,-0.87
2025-26,Drew Timme,25,LAL,1,Too Few Games,Low Minute,Helper,0.0,0.8,0.61,0.19
2025-26,Trentyn Flowers,20,CHI,1,Too Few Games,Low Minute,Point of Attack,0.0,0.31,-0.01,0.32
2025-26,Isaiah Crawford,24,HOU,3,Too Few Games,Low Minute,Point of Attack,0.0,-1.4,-0.49,-0.91
2025-26,Kasparas Jakučionis,19,MIA,1,Too Few Games,Low Minute,Point of Attack,0.0,-0.74,-0.47,-0.27
2025-26,Chucky Hepburn,22,TOR,5,Too Few Games,Low Minute,Point of Attack,0.0,-0.91,-0.44,-0.47
2025-26,Curtis Jones,24,DEN,3,Too Few Games,Low Minute,Point of Attack,0.0,-0.4,-0.17,-0.22
2025-26,Cam Whitmore,21,WAS,336,Rotation,Secondary Ball Handler,Helper,-0.01,-2.5,-1.17,-1.33
2025-26,Khris Middleton,34,WAS,388,Starter,Post Scorer,Wing Stopper,-0.02,-2.55,-1.53,-1.02
2025-26,Isaac Okoro,25,CHI,373,Key Rotation,Movement Shooter,Wing Stopper,-0.08,-2.83,-2.31,-0.53
2025-26,Ben Sheppard,24,IND,549,Key Rotation,Movement Shooter,Chaser,-0.12,-2.82,-2.19,-0.63
2025-26,Gary Trent Jr.,27,MIL,642,Starter,Movement Shooter,Chaser,-0.2,-2.98,-1.82,-1.16
2025-26,Jarace Walker,22,IND,598,Key Rotation,Movement Shooter,Helper,-0.22,-3.08,-2.19,-0.89
2025-26,CJ McCollum,34,WAS,593,Starter,Primary Ball Handler,Chaser,-0.23,-3.1,-0.18,-2.92
2025-26,Zach LaVine,30,SAC,661,Starter,Secondary Ball Handler,Chaser,-0.26,-3.11,-1.19,-1.92
2025-26,Kyshawn George,22,WAS,564,Starter,Primary Ball Handler,Helper,-0.37,-3.54,-2.39,-1.15
2025-26,Tre Johnson,19,WAS,364,Key Rotation,Secondary Ball Handler,Chaser,-0.42,-4.4,-2.62,-1.78
2025-26,Bub Carrington,20,WAS,501,Key Rotation,Primary Ball Handler,Point of Attack,-0.91,-5.52,-3.74,-1.79
